,query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
1,query_1,TRUE,0.00126694472418506,2405,25,13,0.52,0.00540540540540541,GO:0071310,GO:BP,cellular response to organic substance,21092,19316,GO:0010033/GO:0070887
2,query_1,TRUE,0.00252217411840298,3034,25,14,0.56,0.004614370468029,GO:0010033,GO:BP,response to organic substance,21092,4303,GO:0042221
3,query_1,TRUE,0.0072026698782104,6492,25,19,0.76,0.00292667898952557,GO:0023052,GO:BP,signaling,21092,7643,GO:0008150
4,query_1,TRUE,0.00836604122263268,6551,25,19,0.76,0.0029003205617463,GO:0007154,GO:BP,cell communication,21092,3050,GO:0009987
5,query_1,TRUE,0.0118645262826271,7494,25,20,0.8,0.00266880170803309,GO:0051716,GO:BP,cellular response to stimulus,21092,16044,GO:0009987/GO:0050896
6,query_1,TRUE,0.0133816824281942,5993,25,18,0.72,0.00300350408810279,GO:0007165,GO:BP,signal transduction,21092,3061,GO:0007154/GO:0009987/GO:0023052/GO:0050794/GO:0051716
7,query_1,TRUE,0.019006096043182,3049,25,13,0.52,0.00426369301410298,GO:0070887,GO:BP,cellular response to chemical stimulus,21092,19091,GO:0042221/GO:0051716
8,query_1,TRUE,0.0281254423198004,479,25,6,0.24,0.0125260960334029,GO:0019221,GO:BP,cytokine-mediated signaling pathway,21092,6469,GO:0007166/GO:0071345
9,query_1,TRUE,0.0297364040920836,133,25,4,0.16,0.0300751879699248,GO:0048565,GO:BP,digestive tract development,21092,14857,GO:0035295/GO:0055123
10,query_1,TRUE,0.0374857252396451,4383,25,15,0.6,0.00342231348391513,GO:0042221,GO:BP,response to chemical,21092,11605,GO:0050896
11,query_1,TRUE,0.0406484476078146,144,25,4,0.16,0.0277777777777778,GO:0055123,GO:BP,digestive system development,21092,16794,GO:0048731
12,query_1,TRUE,0.0458068588672789,9000,25,21,0.84,0.00233333333333333,GO:0050896,GO:BP,response to stimulus,21092,15390,GO:0008150
13,query_1,TRUE,0.0399847062335195,255,25,4,0.16,0.0156862745098039,GO:0090575,GO:CC,RNA polymerase II transcription regulator complex,21690,3192,GO:0005667/GO:0140513
14,query_1,TRUE,0.00305985323374782,237,25,5,0.2,0.0210970464135021,GO:0005125,GO:MF,cytokine activity,20166,1625,GO:0048018
15,query_1,TRUE,0.00809490492195084,290,25,5,0.2,0.0172413793103448,GO:0001664,GO:MF,G protein-coupled receptor binding,20166,309,GO:0005102
16,query_1,TRUE,0.0200573061540436,1555,25,9,0.36,0.00578778135048231,GO:0005102,GO:MF,signaling receptor binding,20166,1606,GO:0005515
17,query_1,TRUE,0.0435789299703458,130,12,3,0.25,0.0230769230769231,HPA:0090973,HPA,cerebellum; granular cells - cytoplasm/membrane[High],10976,142,HPA:0090972
18,query_1,TRUE,0.0162078166050423,293,17,5,0.294117647058824,0.0170648464163823,KEGG:04060,KEGG,Cytokine-cytokine receptor interaction,8064,238,KEGG:00000
19,query_1,TRUE,0.0358119693680849,127,21,4,0.19047619047619,0.031496062992126,WP:WP5095,WP,Overview of proinflammatory and profibrotic mediators,7827,159,WP:000000
