gene_id,Satrom-mRNA-0hT_CAGATC_L002_001
1810063I02Rik,0
1810064F22Rik,0
1810065E05Rik,0
1810073O08Rik,23
2010001A14Rik,91
2010001E11Rik,0
2010001M07Rik,0
2010002M12Rik,4
2010003K11Rik,4
2010005H15Rik,3
2010009K17Rik,0
2010010A06Rik,0
2010012O05Rik,355
2010016I18Rik,32
2010106C02Rik,0
2010106E10Rik,0
2010107E04Rik,2052
2010107G12Rik,26
2010107G23Rik,2
2010109A12Rik,17
2010109I03Rik,57
2010110K18Rik,54
2010111I01Rik,272
2010203P06Rik,0
2010204K13Rik,257
2010300C02Rik,12
2010300F17Rik,0
2010308F09Rik,2
2010310C07Rik,0
2010315B03Rik,0
2010320M18Rik,111
2010320O07Rik,0
2200002D01Rik,8
2200002J24Rik,78
2210008F06Rik,2
2210010C04Rik,0
2210011C24Rik,0
2210011K15Rik,0
2210013O21Rik,0
2210015D19Rik,522
2210016F16Rik,27
2210016L21Rik,682
2210018M11Rik,2457
2210019I11Rik,0
2210039B01Rik,2
2210404E10Rik,0
2210404O09Rik,1
2210406O10Rik,29
2210407C18Rik,0
2210408F21Rik,34
2210408I21Rik,384
2210409D07Rik,0
2210409E12Rik,0
2210414B05Rik,13
2210416O15Rik,0
2210417A02Rik,48
2210420H20Rik,0
2300002M23Rik,0
2300003K06Rik,0
2300005B03Rik,0
2300009A05Rik,292
2310001H17Rik,170
2310001K24Rik,0
2310002D06Rik,0
2310002F09Rik,0
2310002L09Rik,0
2310003H01Rik,1089
2310003N18Rik,0
2310005A03Rik,0
2310005E17Rik,0
2310007B03Rik,2
2310007L24Rik,8
2310008N11Rik,2
2310009A05Rik,352
2310009B15Rik,95
2310010J17Rik,70
2310011J03Rik,988
2310014F06Rik,0
2310014L17Rik,346
2310015A10Rik,611
2310015A16Rik,0
2310015B20Rik,0
2310015D24Rik,0
2310015K22Rik,2
2310016D03Rik,0
2310016D23Rik,5
2310016G11Rik,0
2310020H05Rik,0
2310022A10Rik,2363
2310022B05Rik,1680
2310026I22Rik,0
2310030A07Rik,4
2310030G06Rik,2
2310033P09Rik,564
2310034C09Rik,0
2310034G01Rik,51
2310034O05Rik,1
2310034P14Rik,6
2310035C23Rik,2645
2310036O22Rik,1581
2310039H08Rik,361
2310039L15Rik,2
2310040G24Rik,8
2310043L19Rik,0
2310043O21Rik,1
2310045N01Rik,693
2310047D07Rik,36
2310047M10Rik,464
2310050C09Rik,0
2310057J18Rik,0
2310057M21Rik,1561
2310057N15Rik,0
2310061I04Rik,188
2310061J03Rik,6
2310061N02Rik,0
2310065F04Rik,15
2310067B10Rik,1871
2310067E19Rik,0
2310068J16Rik,5
2310069B03Rik,0
2310069G16Rik,0
2310075C17Rik,0
2310075K07Rik,95
2310079G19Rik,0
2310081J21Rik,0
2400006E01Rik,0
2410002F23Rik,2559
2410003L11Rik,0
2410004B18Rik,2155
2410004I01Rik,2
2410004N09Rik,820
2410004P03Rik,1
2410006H16Rik,6444
2410007B07Rik,0
2410012E07Rik,47
2410012M07Rik,0
2410015M20Rik,1677
2410016O06Rik,667
2410017I17Rik,0
2410018L13Rik,0
2410019O14Rik,260
2410021H03Rik,0
2410022M11Rik,68
2410088K16Rik,0
2410089E03Rik,2884
2410114N07Rik,0
2410124H12Rik,8
2410127L17Rik,937
2410131K14Rik,920
2410137M14Rik,0
2410141K09Rik,0
2500002B13Rik,192
2500004C02Rik,127
2510002D24Rik,0
2510003B16Rik,4
2510003E04Rik,1954
2510009E07Rik,2
2510039O18Rik,815
2610001J05Rik,1402
2610002J02Rik,800
2610002M06Rik,1338
2610005L07Rik,407
2610008E11Rik,824
2610015P09Rik,1416
2610016A17Rik,0
2610020C07Rik,138
2610020H08Rik,500
2610027F03Rik,0
2610027K06Rik,13
2610028E06Rik,0
2610028H24Rik,0
2610034B18Rik,3
2610035D17Rik,618
2610035F20Rik,65
2610036A22Rik,671
2610037D02Rik,435
2610042L04Rik,3
2610044O15Rik8,418
2610100L16Rik,0
2610203C20Rik,0
2610203C22Rik,2
2610206C17Rik,9
2610300M13Rik,2
2610301B20Rik,1710
2610305D13Rik,225
2610306M01Rik,46
2610307P16Rik,0
2610316D01Rik,0
2610318N02Rik,715
2610507B11Rik,9613
2610507I01Rik,556
2610524H06Rik,956
2610528A11Rik,0
2610528J11Rik,0
2700012I20Rik,40
2700029M09Rik,4057
2700038G22Rik,337
2700046A07Rik,0
2700046G09Rik,23
2700049A03Rik,1753
2700054A10Rik,44
2700060E02Rik,5464
2700062C07Rik,1100
2700068H02Rik,0
2700069I18Rik,0
2700070H01Rik,0
2700081O15Rik,2791
2700089E24Rik,3481
2700089I24Rik,0
2700094K13Rik,1840
2700097O09Rik,291
2700099C18Rik,446
2810001G20Rik,157
2810002D19Rik,421
2810004N23Rik,4526
2810006K23Rik,722
2810007J24Rik,0
2810008D09Rik,322
2810013P06Rik,137
2810021J22Rik,369
2810025M15Rik,2396
2810029C07Rik,43
2810030D12Rik,0
2810032G03Rik,0
2810039B14Rik,59
2810047C21Rik1,0
2810049E08Rik,2
2810403A07Rik,3191
2810403D21Rik,257
2810404M03Rik,0
2810405F15Rik,0
2810407A14Rik,1
2810408A11Rik,0
2810408B13Rik,4
2810408I11Rik,330
2810408M09Rik,554
2810410L24Rik,0
2810416G20Rik,32
2810417H13Rik,3747
2810428I15Rik,476
2810429I04Rik,255
2810433D01Rik,0
2810442N19Rik,40
2810454H06Rik,0
2810459M11Rik,2
2810468N07Rik,0
2810471M01Rik,0
2810474O19Rik,0
2900005J15Rik,26
2900008C10Rik,24
2900009J06Rik,2
2900011O08Rik,1
2900026A02Rik,2014
2900040C04Rik,0
2900041M22Rik,14
2900052N01Rik,0
2900055J20Rik,0
2900057B20Rik,0
2900060B14Rik,2
2900076A07Rik,78
2900079G21Rik,0
2900089D17Rik,428
2900092C05Rik,0
2900092D14Rik,0
2900097C17Rik,7867
3000002C10Rik,115
3010001F23Rik,0
3010003L21Rik,9
3010026O09Rik,1340
3010033K07Rik,0
3100003L05Rik,0
3110001I22Rik,561
3110002H16Rik,803
3110007F17Rik,2
3110009E18Rik,47
3110009F21Rik,0
3110009M11Rik,6
3110015C05Rik,0
3110021A11Rik,0
3110021N24Rik,0
3110035E14Rik,0
3110039I08Rik,0
3110039M20Rik,0
3110040M04Rik,0
3110040N11Rik,920
3110043O21Rik,1478
3110045C21Rik,43
3110052M02Rik,183
3110053B16Rik,0
3110056K07Rik,119
3110057O12Rik,504
3110062M04Rik,174
3110070M22Rik,45
3110079O15Rik,1
3110082I17Rik,1649
3110082J24Rik,0
3110099E03Rik,0
3200001D21Rik,0
3300002A11Rik,0
3300002I08Rik,171
3300002P13Rik,0
3300005D01Rik,275
3425401B19Rik,2317
3632451O06Rik,0
3632454L22Rik,7
3830403N18Rik,2154
3830406C13Rik,660
3830408C21Rik,81
3830417A13Rik,0
3830432H09Rik,8
3930402G23Rik,2
4430402I18Rik,5
4631405J19Rik,5
4631405K08Rik,0
4632404H12Rik,124
4632415L05Rik,821
4632427E13Rik,8
4632428C04Rik,0
4632428N05Rik,932
4732414G09Rik,0
4732416N19Rik,0
4732419C18Rik,50
4732440D04Rik,32
4732456N10Rik,0
4732465J04Rik,0
4732471J01Rik,19
4732490B19Rik,0
4732491K20Rik,70
4831407H17Rik,4
4831440D22Rik,2
4831440E17Rik,17
4833403I15Rik,0
4833411C07Rik,2
4833412C05Rik,0
4833415N18Rik,2
4833417C18Rik,32
4833418N02Rik,6
4833419F23Rik,93
4833420G17Rik,1626
4833422C13Rik,10
4833422M21Rik,0
4833423E24Rik,0
4833427F10Rik,0
4833427G06Rik,0
4833428L15Rik,0
4833438C02Rik,72
4833439L19Rik,1754
4833447I15Rik,50
4833447P13Rik,28
4921501E09Rik,0
4921504A21Rik,0
4921504E06Rik,0
4921506M07Rik,0
4921507G05Rik,6
4921507L20Rik,20
4921507P07Rik,0
4921508D12Rik,0
4921509C19Rik,0
4921509O07Rik,3
4921511C10Rik,8
4921511C20Rik,0
4921511H03Rik,0
4921511I17Rik,7
4921511M17Rik,0
4921513H07Rik,0
4921513I03Rik,0
4921515E04Rik,0
4921517D16Rik,7
4921517D22Rik,0
4921518K17Rik,0
4921524J17Rik,747
4921524L21Rik,0
4921525O09Rik,0
4921528I07Rik,1
4921529L05Rik,0
4921530L21Rik,0
4921531C22Rik,43
4921531P14Rik,0
4921533I20Rik,0
4921534H16Rik,0
4921536K21Rik,107
4921539E11Rik,0
4921539H07Rik,0
4922502D21Rik,37
4922502H24Rik,0
4922502N22Rik,0
4930401C15Rik,0
4930401G09Rik,10
4930401O10Rik,0
4930401O12Rik,0
4930402D18Rik,0
4930402F06Rik,1
4930402F11Rik,0
4930402H24Rik,684
4930402K13Rik,0
4930403D09Rik,4
4930404A05Rik,0
4930404H11Rik,0
4930404H24Rik,3
4930404I05Rik,42
4930404I20Rik,0
4930404K13Rik,0
4930404N11Rik,0
4930405A10Rik,0
4930405A21Rik,10
4930405D01Rik,0
4930405D11Rik,0
4930405J17Rik,0
4930405L22Rik,0
4930405O22Rik,0
4930406D18Rik,2
4930407G08Rik,0
4930407I02Rik,0
4930407I10Rik,60
4930407I19Rik,0
4930412B13Rik,0
4930412C18Rik,0
4930412D23Rik,0
4930412E21Rik,0
4930412L05Rik,15
4930412O13Rik,0
4930413E15Rik,0
4930413F20Rik,0
4930413G21Rik,657
4930413M19Rik,0
4930414F18Rik,0
4930414L22Rik,0
4930414N06Rik,2
4930415F15Rik,18
4930415L06Rik,0
4930415O20Rik,2
4930417H01Rik,0
4930417O13Rik,4
4930417O22Rik,0
4930419G24Rik,0
4930421P05Rik,0
4930421P07Rik,0
4930423D24Rik,0
4930423M02Rik,0
4930425K10Rik,0
4930425L21Rik,0
4930425O10Rik,0
4930426D05Rik,367
4930426I24Rik,38
4930426L09Rik,2
4930427A07Rik,309
4930428D18Rik,0
4930428D20Rik,0
4930428E07Rik,0
4930428G15Rik,2
4930428N03Rik,0
4930428O21Rik,31
4930429B21Rik,8
4930429D17Rik,0
4930429F11Rik,0
4930429F24Rik,0
4930429P21Rik,0
4930430A15Rik,0
4930430E12Rik,0
4930430F08Rik,0
4930430F21Rik,0
4930430J02Rik,21
4930431F10Rik,0
4930431F12Rik,0
4930431P03Rik,0
4930431P22Rik,0
4930432E11Rik,0
4930432J09Rik,0
4930432K21Rik,51
4930432L08Rik,0
4930432M17Rik,0
4930432O09Rik,0
4930433B08Rik,0
4930433I11Rik,0
4930433N12Rik,0
4930434B07Rik,1
4930434J06Rik,0
4930435E12Rik,0
4930435F18Rik,0
4930437M23Rik,0
4930438A08Rik,0
4930438E09Rik,0
4930439A04Rik,0
4930440C22Rik,0
4930440I19Rik,0
4930441J16Rik,0
4930442E04Rik,2
4930442J19Rik,0
4930442L01Rik,0
4930443O20Rik,0
4930444A19Rik,1
4930444F02Rik,0
4930444G20Rik,0
4930444M15Rik,0
4930444P10Rik,4
4930445E18Rik,13
4930445N18Rik,14
4930447A16Rik,0
4930447C04Rik,1
4930447F24Rik,2
4930447J18Rik,0
4930447K03Rik,0
4930447M23Rik,0
4930447N08Rik,0
4930448C13Rik,0
4930448F12Rik,0
4930448H16Rik,0
4930448I06Rik,0
4930448I18Rik,0
4930448K20Rik,0
4930449C09Rik,0
4930449E01Rik,0
4930449E18Rik,0
4930449I24Rik,0
4930451E10Rik,8
4930451G09Rik,84
4930451I11Rik,2
4930452A19Rik,0
4930452B06Rik,0
4930452G13Rik,4
4930452N14Rik,0
4930453H23Rik,0
4930453L07Rik,0
4930453N24Rik,3414
4930453O03Rik,0
4930455B14Rik,0
4930455C13Rik,15
4930455D15Rik,0
4930455F16Rik,0
4930455G09Rik,51
4930455H04Rik,0
4930455J16Rik,0
4930456L15Rik,0
4930458A03Rik,2
4930459C07Rik,0
4930459I23Rik,0
4930459L07Rik,0
4930461C15Rik,0
4930461G14Rik,0
4930463O16Rik,0
4930465K10Rik,0
4930465M20Rik,0
4930467D21Rik,0
4930467E23Rik,0
4930467J12Rik,0
4930467K11Rik,0
4930468A15Rik,0
4930469G21Rik,0
4930469K13Rik,36
4930470H14Rik,0
4930470O06Rik,0
4930470P17Rik,0
4930471C04Rik,1
4930471G03Rik,0
4930471G24Rik,0
4930471L23Rik,0
4930471M09Rik,0
4930473A02Rik,23
4930473H19Rik,33
4930473O22Rik,0
4930474G06Rik,0
4930474H20Rik,0
4930474M22Rik,0
4930474N05Rik,0
4930474N09Rik,0
4930477N07Rik,1
4930478L05Rik,2
4930478P22Rik,0
4930479D17Rik,0
4930479H17Rik,0
4930480E11Rik,0
4930480G23Rik,0
4930480K15Rik,0
4930480K23Rik,501
4930480M12Rik,0
4930481A15Rik,136
4930482G09Rik,0
4930483J18Rik,0
4930483K19Rik,1
4930483O08Rik,0
4930484H19Rik,0
4930486F22Rik,0
4930486I03Rik,0
4930486L24Rik,0
4930487D11Rik,0
4930487H11Rik,2
4930488B22Rik,0
4930488L21Rik,0
4930488N24Rik,0
4930500A05Rik,0
4930500F04Rik,0
4930500G05Rik,12
4930500H12Rik,0
4930500J02Rik,110
4930500L23Rik,0
4930502A04Rik,0
4930502C15Rik,45
4930502E09Rik,7
4930502E18Rik,0
4930502M04Rik,0
4930503B20Rik,0
4930503E14Rik,11
4930503E24Rik,0
4930503F20Rik,0
4930503H13Rik,0
4930503L19Rik,3595
4930503O07Rik,0
4930504C09Rik,0
4930504O13Rik,0
4930505A04Rik,0
4930505G20Rik,0
4930505K13Rik,0
4930505K14Rik,13
4930505N22Rik,3
4930505O20Rik,0
4930506A18Rik,0
4930506C21Rik,123
4930506M07Rik,2219
4930507D05Rik,0
4930507D10Rik,0
4930509E16Rik,541
4930509J09Rik,0
4930509K18Rik,0
4930511A02Rik,0
4930511A08Rik,0
4930511E03Rik,0
4930511M06Rik,0
4930512B01Rik,1
4930512H18Rik,0
4930512J16Rik,61
4930513D17Rik,0
4930513L16Rik,2
4930513N10Rik,78
4930513O06Rik,0
4930515B02Rik,0
4930515G01Rik,24
4930515G16Rik,0
4930515L03Rik,0
4930515L19Rik,0
4930517E11Rik,0
4930517G24Rik,2
4930517M08Rik,0
4930517O19Rik,32
4930518F22Rik,0
4930518J21Rik,0
4930518P08Rik,0
4930519D14Rik,4
4930519F09Rik,0
4930519F16Rik,0
4930519F24Rik,0
4930519G04Rik,0
4930519H02Rik,0
4930520O04Rik,40
4930520P13Rik,0
4930521E06Rik,0
4930521O11Rik,0
4930521O17Rik,0
4930522H14Rik,0
4930522L14Rik,498
4930522O17Rik,0
4930522P08Rik,8
4930523C07Rik,166
4930523O13Rik,0
4930524B15Rik,3
