,query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
1,query_1,TRUE,0.0341220269591778,25,42,3,0.0714285714285714,0.12,GO:0035235,GO:BP,ionotropic glutamate receptor signaling pathway,21092,10238,GO:0007215/GO:1990806
2,query_1,TRUE,0.0341220269591778,25,42,3,0.0714285714285714,0.12,GO:1990806,GO:BP,ligand-gated ion channel signaling pathway,21092,29115,GO:0007165
3,query_1,TRUE,0.000512755157949736,6270,42,27,0.642857142857143,0.00430622009569378,GO:0071944,GO:CC,cell periphery,21690,3125,GO:0110165
4,query_1,TRUE,0.00448474004774853,1248,42,11,0.261904761904762,0.00881410256410256,GO:0098590,GO:CC,plasma membrane region,21690,3576,GO:0005886/GO:0016020
5,query_1,TRUE,0.00740997924123368,5788,42,24,0.571428571428571,0.00414651002073255,GO:0005886,GO:CC,plasma membrane,21690,513,GO:0016020/GO:0071944
6,query_1,TRUE,0.0158637245834644,40,42,3,0.0714285714285714,0.075,GO:0008328,GO:CC,ionotropic glutamate receptor complex,21690,619,GO:0005887/GO:0034702/GO:0098878
7,query_1,TRUE,0.0202357929103106,231,42,5,0.119047619047619,0.0216450216450216,GO:0034703,GO:CC,cation channel complex,21690,1768,GO:0034702
8,query_1,TRUE,0.0207809598756491,378,42,6,0.142857142857143,0.0158730158730159,GO:0097060,GO:CC,synaptic membrane,21690,3240,GO:0045202/GO:0098590
9,query_1,TRUE,0.0226311209531228,45,42,3,0.0714285714285714,0.0666666666666667,GO:0098878,GO:CC,neurotransmitter receptor complex,21690,3659,GO:0098802
10,query_1,TRUE,0.032661617100513,9,42,2,0.0476190476190476,0.222222222222222,GO:0017146,GO:CC,NMDA selective glutamate receptor complex,21690,926,GO:0008328/GO:0034703
11,query_1,TRUE,0.0476072151961679,148,42,4,0.0952380952380952,0.027027027027027,GO:0042734,GO:CC,presynaptic membrane,21690,2075,GO:0097060/GO:0098793
12,query_1,TRUE,0.00391636595384238,19,44,3,0.0681818181818182,0.157894736842105,GO:0004970,GO:MF,ionotropic glutamate receptor activity,20166,1505,GO:0008066/GO:0022824
13,query_1,TRUE,0.011678556345284,27,44,3,0.0681818181818182,0.111111111111111,GO:0008066,GO:MF,glutamate receptor activity,20166,1947,GO:0004888
14,query_1,TRUE,0.0198005418190631,5,44,2,0.0454545454545455,0.4,GO:0022849,GO:MF,glutamate-gated calcium ion channel activity,20166,4671,GO:0004970/GO:0099604
15,query_1,TRUE,0.0445786691717595,349,44,6,0.136363636363636,0.0171919770773639,GO:0005261,GO:MF,cation channel activity,20166,1742,GO:0005216/GO:0022890
16,query_1,TRUE,0.0488219286086267,115,44,4,0.0909090909090909,0.0347826086956522,GO:0099094,GO:MF,ligand-gated cation channel activity,20166,10414,GO:0005261/GO:0015276
17,query_1,TRUE,0.0112213953860292,40,23,3,0.130434782608696,0.075,KEGG:05033,KEGG,Nicotine addiction,8064,404,KEGG:00000
18,query_1,TRUE,2.97913345856677e-05,24,19,4,0.210526315789474,0.166666666666667,WP:WP4288,WP,MTHFR deficiency,7827,478,WP:000000
19,query_1,TRUE,0.0359475697081706,140,19,4,0.210526315789474,0.0285714285714286,WP:WP5083,WP,Neuroinflammation and glutamatergic signaling,7827,19,WP:000000
