,query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
1,query_1,TRUE,0.00943001827975255,4,21,2,0.0952380952380952,0.5,GO:0099039,GO:BP,sphingolipid translocation,21092,22201,GO:0034204/GO:0071705
2,query_1,TRUE,0.0400699704432279,57,21,3,0.142857142857143,0.0526315789473684,GO:0034204,GO:BP,lipid translocation,21092,9754,GO:0006869/GO:0097035
3,query_1,TRUE,0.0416941916328444,7463,21,17,0.80952380952381,0.00227790432801822,GO:0032501,GO:BP,multicellular organismal process,21092,8794,GO:0008150
4,query_1,TRUE,1.32291894902851e-05,8,20,3,0.15,0.375,GO:0090554,GO:MF,phosphatidylcholine floppase activity,20166,10208,GO:0008525/GO:0140328
5,query_1,TRUE,0.000131624154270155,16,20,3,0.15,0.1875,GO:0140328,GO:MF,floppase activity,20166,11795,GO:0140326
6,query_1,TRUE,0.000191552719368328,18,20,3,0.15,0.166666666666667,GO:0008525,GO:MF,phosphatidylcholine transporter activity,20166,2238,GO:0005548
7,query_1,TRUE,0.000682734349751145,27,20,3,0.15,0.111111111111111,GO:0140326,GO:MF,ATPase-coupled intramembrane lipid transporter activity,20166,11793,GO:0140303/GO:0140657
8,query_1,TRUE,0.000795949775138661,3,20,2,0.1,0.666666666666667,GO:0046623,GO:MF,sphingolipid floppase activity,20166,7295,GO:0046624/GO:0140328
9,query_1,TRUE,0.00285155153549499,43,20,3,0.15,0.0697674418604651,GO:0140303,GO:MF,intramembrane lipid transporter activity,20166,11781,GO:0005319
10,query_1,TRUE,0.00450883342755558,50,20,3,0.15,0.06,GO:0140359,GO:MF,ABC-type transporter activity,20166,11812,GO:0042626
11,query_1,TRUE,0.00995338271975582,65,20,3,0.15,0.0461538461538462,GO:0005548,GO:MF,phospholipid transporter activity,20166,1908,GO:0005319
12,query_1,TRUE,0.0357836676765976,17,20,2,0.1,0.117647058823529,GO:0046624,GO:MF,sphingolipid transporter activity,20166,7296,GO:0005319
13,query_1,TRUE,0.0371198409193721,101,20,3,0.15,0.0297029702970297,GO:0042626,GO:MF,ATPase-coupled transmembrane transporter activity,20166,6662,GO:0015399/GO:0140657
14,query_1,TRUE,0.00147577238599861,45,11,3,0.272727272727273,0.0666666666666667,KEGG:02010,KEGG,ABC transporters,8064,198,KEGG:00000
15,query_1,TRUE,0.0019612066922787,35,12,3,0.25,0.0857142857142857,WP:WP299,WP,Nuclear receptors in lipid metabolism and toxicity,7827,180,WP:000000
