,query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
1,query_1,TRUE,0.0496505840149942,1,4,1,0.25,1,CORUM:3157,CORUM,PR -PRLR complex,3385,1431,CORUM:0000000
2,query_1,TRUE,7.3949790362714e-09,2814,31,21,0.67741935483871,0.00746268656716418,GO:0009605,GO:BP,response to external stimulus,21092,3973,GO:0050896
3,query_1,TRUE,5.00405808565077e-08,1742,31,17,0.548387096774194,0.00975889781859931,GO:0006952,GO:BP,defense response,21092,2881,GO:0006950
4,query_1,TRUE,2.20389534500444e-07,1913,31,17,0.548387096774194,0.00888656560376372,GO:0006955,GO:BP,immune response,21092,2884,GO:0002376/GO:0050896
5,query_1,TRUE,1.03520242246314e-06,1513,31,15,0.483870967741935,0.00991407799074686,GO:0051707,GO:BP,response to other organism,21092,16036,GO:0043207/GO:0044419
6,query_1,TRUE,1.06414369739638e-06,1516,31,15,0.483870967741935,0.00989445910290238,GO:0043207,GO:BP,response to external biotic stimulus,21092,12178,GO:0009605/GO:0009607
7,query_1,TRUE,1.50133447409978e-06,1554,31,15,0.483870967741935,0.00965250965250965,GO:0009607,GO:BP,response to biotic stimulus,21092,3975,GO:0050896
8,query_1,TRUE,4.23639551048666e-06,1675,31,15,0.483870967741935,0.00895522388059702,GO:0044419,GO:BP,biological process involved in interspecies interaction between organisms,21092,12763,GO:0008150
9,query_1,TRUE,4.10007244621613e-05,3938,31,20,0.645161290322581,0.00507872016251905,GO:0006950,GO:BP,response to stress,21092,2880,GO:0050896
10,query_1,TRUE,9.8673363277648e-05,2842,31,17,0.548387096774194,0.005981703026038,GO:0002376,GO:BP,immune system process,21092,1027,GO:0008150
11,query_1,TRUE,0.000245656897712503,817,31,10,0.32258064516129,0.0122399020807834,GO:0071345,GO:BP,cellular response to cytokine stimulus,21092,19349,GO:0034097/GO:0071310
12,query_1,TRUE,0.000377285262681506,182,31,6,0.193548387096774,0.032967032967033,GO:0001906,GO:BP,cell killing,21092,638,GO:0009987
13,query_1,TRUE,0.000476894742130392,1698,31,13,0.419354838709677,0.00765606595995289,GO:0048870,GO:BP,cell motility,21092,15139,GO:0009987
14,query_1,TRUE,0.000536478797720323,479,31,8,0.258064516129032,0.0167014613778706,GO:0019221,GO:BP,cytokine-mediated signaling pathway,21092,6469,GO:0007166/GO:0071345
15,query_1,TRUE,0.000614301187442639,680,31,9,0.290322580645161,0.0132352941176471,GO:0002252,GO:BP,immune effector process,21092,905,GO:0002376
16,query_1,TRUE,0.000619226340141535,9000,31,27,0.870967741935484,0.003,GO:0050896,GO:BP,response to stimulus,21092,15390,GO:0008150
17,query_1,TRUE,0.000639231115236724,906,31,10,0.32258064516129,0.011037527593819,GO:0034097,GO:BP,response to cytokine,21092,9659,GO:0010033
18,query_1,TRUE,0.000671544749020919,1163,31,11,0.354838709677419,0.00945829750644884,GO:0098542,GO:BP,defense response to other organism,21092,21964,GO:0006952/GO:0051707
19,query_1,TRUE,0.00100326943799938,721,31,9,0.290322580645161,0.0124826629680999,GO:0002250,GO:BP,adaptive immune response,21092,903,GO:0006955
20,query_1,TRUE,0.00100675392275776,1498,31,12,0.387096774193548,0.00801068090787717,GO:0016477,GO:BP,cell migration,21092,5812,GO:0048870
21,query_1,TRUE,0.00176191386473813,5993,31,22,0.709677419354839,0.00367094944101452,GO:0007165,GO:BP,signal transduction,21092,3061,GO:0007154/GO:0009987/GO:0023052/GO:0050794/GO:0051716
22,query_1,TRUE,0.00390798434275419,2405,31,14,0.451612903225806,0.00582120582120582,GO:0071310,GO:BP,cellular response to organic substance,21092,19316,GO:0010033/GO:0070887
23,query_1,TRUE,0.00492989397590127,446,31,7,0.225806451612903,0.015695067264574,GO:0002443,GO:BP,leukocyte mediated immunity,21092,1087,GO:0002252
24,query_1,TRUE,0.00515279630349702,449,31,7,0.225806451612903,0.0155902004454343,GO:0032103,GO:BP,positive regulation of response to external stimulus,21092,8534,GO:0009605/GO:0032101/GO:0048584
25,query_1,TRUE,0.00724392500117776,916,31,9,0.290322580645161,0.00982532751091703,GO:0045087,GO:BP,innate immune response,21092,13097,GO:0006955/GO:0098542
26,query_1,TRUE,0.00774709274308544,6492,31,22,0.709677419354839,0.00338878619839803,GO:0023052,GO:BP,signaling,21092,7643,GO:0008150
27,query_1,TRUE,0.00914139909858902,6551,31,22,0.709677419354839,0.00335826591360098,GO:0007154,GO:BP,cell communication,21092,3050,GO:0009987
